systemNumber,objectType,title,maker,year,place,materials,techniques,styles
O152859,Set model,"Set model designed by John Napier for Andrew Lloyd Webber's musical <i>Jesus Christ Superstar</i>, Lyceum Theatre, 1996","Napier, John",1996.0,Great Britain,"['wood', 'cardboard', 'metal', 'composition (material)', 'paint', 'gold paint']","['model-making', 'painting (coating)']",[]
O117473,Eye glass case,Glasses case owned by Edward Gordon Craig and given to the museum as a container for the invisible spectacles owned by Henry Irving. (1838-1905).,Unknown,1885.0,London,"['steel', 'crocodile']",[],[]
O106013,Print,"Marie Taglioni in <i>L'Ombre</i>.  Lithograph coloured by hand, ca.1840",Unknown,1839.0,Europe,"['Lithographic ink', 'watercolour', 'paper']","['lithography', 'hand-colouring']",[]
O68867,Sculpture,Plaster portrait head of the actress Flora Robson (1902-1984) by the sculptor Donald Hastings (1900-1938).,"Hastings, Donald",1929.0,,"['plaster', 'paint']",['modelled'],[]
O97213,Theatre design,"Set model by Barry Kay for Act I of Kenneth MacMillan's ballet ""Anastasia"", The Royal Ballet, Covent Garden, 1971.","Kay, Barry",1971.0,London,"['Card', 'wood', 'cloth', 'paper', 'gouache']",[],[]
O66781,Sculpture,Painted plaster bust of Lena Ashwell (1872-1957) by Peter Lambda (1911-1995),"Lambda, Peter",1949.0,Great Britain,"['paint', 'plaster']","['sculpted', 'painted']",[]
O66780,Sculpture,Painted plaster bust of Dame Wendy Hiller (b.1912) by Peter Lambda (1911-1995),"Lambda, Peter",1949.0,Great Britain,"['paint', 'plaster']","['sculpted', 'painted']",[]
O1302410,Set design,"Set model piece for 'The Quest for Princess Crystal' in pantomime <i>Cinderella,</i> London Palladium, 1953","Reading, Charles",1953.0,Great Britain,"['card', 'gouache', 'watercolour']","['painting (image-making)', 'model making']",[]
O1302403,Plaque,"Metal plaque probably for the door of a dressing room used by Vivien Leigh, mid 20th century",,1950.0,Great Britain,['metal'],['engraving (incising)'],[]
O1245302,Shadow puppet,"One of two Ramayana bird shadow puppets, made in the 1920s to 1950s.",Unknown,1939.0,India,"['acrylic', 'paint']","['painted', 'cut']",[]
O1244941,Glove puppet,"Green Lion, puppet designed by Elizabeth Waghorn and carved by Beverley Coleclough and Nicola Howard-Jones for the Polka Theatre in 1969 for Troy production. Written and directed by Richard Gill.",Elizabeth Waghorn,1969.0,United Kingdom,"['paint', 'synthetic fabric']","['decorated', 'sewn', 'painted']",[]
O1244762,Shadow puppet,"Buffalo shadow puppet, made in Burma in 19th and 20th century.",Unknown,1849.0,Burma,"['leather', 'paint']","['painted', 'cut']",[]
O1244317,Shadow puppet,Old woman shadow puppet designed by Julia Lee- Delisle for the Polka Theatre's production <i>Wang Su the Doctor</i> in 1979.,Julia Lee-Delisle,1979.0,United Kingdom,"['card', 'acrylic']","['cut', 'carved']",[]
O1173969,Theatre costume,"Clown's red nose worn by Max Wall, late 20th century",Unknown,1974.0,,['plastic'],[],[]
O126787,Masks (costume),Classical mask by Oliver Messel possibly made for a C.B. Cochran Revue 1920s.,"Messel, Oliver Hilary Sambourne",1924.0,London,"['paper', 'paint', 'glue', 'plaster of Paris', 'wire']","['painting (image making)', 'modelling (forming)']",[]
O126281,Set model,"Set model by Oliver Messel for Sam Spewack's 'farcical fable' <i>Under the Sycamore Tree</i>, Aldwych Theatre 1952.","Messel, Oliver Hilary Sambourne",1952.0,London,"['watercolour', 'paint', 'card', 'wood', 'gauze', 'velvet', 'wire', 'glue', 'perspex', 'gouache', 'masking tape', 'plaster of Paris', 'Plasticine']","['painting (image making)', 'drawing (image making)', 'glueing']",[]
O62975,Figure,"Painted plywood souvenir figure representing a Musician in Leonide Massine's ballet <i>The Good Humoured Ladies</i>, issued by C W Beaumont, 1920s.  
",,1924.0,Great Britain,[],[],[]
O62611,Shadow puppet,"Chinese shadow puppet, pierced and painted hide, of an elegant lady.  Probably from Sichuan, early 20th century.",,1899.0,China,"['hide', 'twine']","['pierced', 'painted']",[]
O58306,Set design,"Set design by Alix Stone for <i>Concerto for Dancers</i>, Empire Theatre, Edinburgh, 25th August 1958","Stone, Alix",1958.0,Great Britain,"['Pencil', 'Ink', 'Paper', 'Paint']","['Painted', 'Drawn']",[]
O1274215,Stage property,"Stage property fish, of hessian filled with sawdust stuffing, used by the comedian Harry Tate (1872-1940), late 19th century",unknown,1874.0,Great Britain,"['hessian', 'paint', 'sawdust']","['painting', 'hand sewing']",[]
O1268314,Lunch tin,"Official merchandise lunch box from the Royal Shakespeare Company's production of <i>Matilda the Musical</i>, 2012",,2011.0,Great Britain,"['metal', 'printing ink']","['forged', 'printing']",[]
O185019,Print,"Joseph Grimaldi (1778-1837) as Clown in <i>Harlequin & Asmodeus, or, Cupid on Crutches,</i> Theatre Royal Covent Garden, 26 December 1810. Hand- coloured etching. Published by Rudolph Ackermann, 1811 from a drawing by R. Norman","Norman, R.",1811.0,London,"['paper', 'printing ink', 'paint']","['etching', 'print-making', 'hand-colouring']",[]
O1115225,Set model,"Set model by Osbert Lancaster for scene 2, the ""Jungle"" scene, in John Cranko's ballet <i>Bonne Bouche</i>, Sadler's Wells Ballet, Royal Opera House, Covent Garden, 4 April 1952.  ","Lancaster, Osbert (Sir)",1952.0,Great Britain,"['wood', 'card', 'paint']","['painting', '']",[]
O53809,Marionette,Carved wooden marionette from the Tiller troupe. Speciality act figure representing a dissecting skeleton.  Made by the Tiller family circa 1870 to 1890.,,1884.0,Lincolnshire,"['Wood', 'String']","['Carved', 'Painted']",[]
O1139118,Oil painting,"Oil painting depicting the head of Robert Eddison in character, probably as King Lear, no date",Unknown,,,[],[],[]
O1364468,Theatre costume,"Costume designed by Lotte Collett for Mother Goose (Jamaican Flag) in the pantomime <i>Mother Goose</i>, Hackney Empire, London, 2014","Collett, Lotte",2014.0,London,[],[],[]
O1370538,Painting ,"Painting of the 'tent city' at Glastonbury Festival, by Kurt Jackson, 2010","Jackson, Kurt",2010.0,Glastonbury,"['paint', 'paper']","['collage', 'painting (image-making)']",[]
O142533,Poster,"Framed poster advertising <i>The Elephant Ballet</i> produced by Ringling Brothers & Barnum & Bailey with music by Igor Stravinsky, staged by George Balanchine as part of the 1942 show <i>Holidays</i>, Madison Square Garden and on tour, 1942. Designed by Edward McKnight Kauffer","Kauffer, Edward McKnight",1942.0,New York,"['printing ink', 'paper']",['printing'],[]
O1778186,Set model,"Set model designed by Ralph Koltai for <i>Twelfth Night</i> at the Royal Theatre Copenhagen, 1996",Ralph Koltai,1996.0,Copenhagen (city),"['wood', 'mirror', 'plastic']",['model-making'],[]
O1663296,Mascot,"Lucky black cat mascot belonging to the actor, Alan Wheatley",,1929.0,,"['fur fabric', 'kapok', 'glass-beads', 'ribbon']",['sewing'],[]
O144794,Set model,"Set model by Erté for <i>Under the Sea</i>, a sequence in an unidentified revue, ca.1938",,1937.0,Europe,"['watercolour', 'gouache', 'card', 'wood']","['painting', 'glueing', 'woodworking', 'cutting (dividing)']",[]
O61197,Theatre design,"Set model by Alix Stone for ""<i>The Mines of Sulphur</i>"", Sadler's Wells Opera, February 24th 1965","Stone, Alix",1965.0,Great Britain,"['cardboard', 'balsa wood', 'Pins', 'foil', 'paint', 'net (textile)', 'metal', 'tape', 'base board']","['glueing', 'painting (image-making)', 'carving']",[]
O126212,Set model,"Set model by Oliver Messel for Christopher Fry's play <i>The Lady's Not For Burning</i>, 1949.","Messel, Oliver Hilary Sambourne",1949.0,London,"['paper', 'watercolour', 'charcoal', 'pencil', 'kaolinite', 'paint', 'card', 'wood', 'gauze', 'velvet', 'foil', 'wire', 'masking tape', 'glue', 'perspex', 'gouache', 'masking tape']","['painting (image making)', 'drawing (image making)', 'glueing']",[]
O1509633,Set model ,"Set model piece by George Ramon for a flight of stairs in a castle or hall, unidentified production, 1940s","Ramon, George",1944.0,London,[],[],[]
O1470680,Magic trick,"Prediction Card Trick, used in performance by Tommy Cooper, ca.1970s",Unknown,1974.0,Great Britain,"['plastic', 'paint']",['Painting'],[]
O1193262,Token,"Ivory token for the 1856 season at Her Majesty's Theatre, London, allowing Horatio Nelson, the nephew of Admiral Lord Nelson, access to a stalls seat. Ivory with gilt mount",unknown,1856.0,Great Britain,"['ivory', 'metal']",[],[]
O144912,Theatre box (audience space),"Boxes from the Palace Theatre of Varieties, Gorbals Street Glasgow, fibrous plaster, supports in the form of elephants, painted gold, designed by Bertie Crewe","Crewe, Bertie",1903.0,Great Britain,"['plaster', 'timber', 'paint', 'steel']","['casting', 'painting (coating)']",[]
O41441,Set design,"Set design by Hawes Craven for Act l of  the original production of The Mikado, Savoy Theatre, 1885.","Craven, Hawes",1885.0,London,"['watercolour', 'gouache', 'pencil']",[],[]
O1464380,Costume,"""Brexit Dress"" pantomime dame costume designed by Lotte Collett for <i>Sleeping Beauty</i> at the Hackney Empire, 2016","Collett, Lotte",2016.0,Great Britain,"['synthetic satin', 'calico', 'net (textile)', 'satin ribbon', 'foam', 'elastic', 'wire', 'polyurethane foam']",[],[]
O1464325,Costume,"Costume worn by Laurence Olivier in the film <i>Hamlet</i> (1948), designed by Roger Furse","Furse, Roger",1948.0,Great Britain,[],[],[]
O372688,Token,"Token, silver, London hallmark for 1797-1798",,1797.0,London,['silver'],[],[]
O144769,Set model,"Set model by Peter Goffin for Ben Jonson's play <i>Volpone</i>, Westminster Theatre, January 25th 1938.",Peter Goffin,1938.0,,[],[],[]
O1731304,Photograph,"Photographic portrait of Ellen Terry, seated in front of a Japanese screen",unknown,1879.0,London,['photographic paper'],"['photography', 'carbon process']",[]
O1352275,Poster,"Poster advertising the London Varieties Concert Party, featuring Alice Delysia, at the Britannia Club, Port Said, 1942",,1942.0,Egypt,"['printing ink', 'paper']",['printing'],[]
O1360607,Lithograph,'How Theatre Works' lithograph by Adam Dant,"Dant, Adam",2013.0,London,"['paper', 'ink']",['lithography'],[]
O1115194,Set model,"Set model by Patrick Robertson for Benjamin Britten's opera ""The Turn of the Screw"", English National Opera, London Coliseum, 1979",,1979.0,,[],[],[]
O1244408,Vesta case,"Silver vesta case produced in 1895 as a souvenir of the third anniversary of <i>Charley's Aunt</i> by Brandon Thomas that opened at London's Royalty Theatre, 21st December 1892 and transferred to the Globe Theatre in 1893. Decorated with an inscription and repoussé image of W.S. Penley (1851-1912) in the title role. Walker & Hall, Sheffield 1895",,1895.0,Sheffield,['silver'],['repousse'],[]
O1244315,Award,"BAFTA Award given to Ronnie Barker for <i>Going Straight</i> and <i>The Two Ronnies</i> in the category of Best Light Entertainment Performance, 1978. Statuette of a face mask mounted on a wooden cube block bearing an inscribed brass plaque.",Mitzi Cunliffe,1978.0,Great Britain,"['brass (alloy)', 'wood']",[],[]
O130525,Silk playbill,"Silk playbill produced for the 2239th performance of Agatha Christie's play <i>The Mousetrap</i>, Ambassadors Theatre, 12 April 1958, when it became the longest running play in the history of the British theatre.",Unknown,1958.0,Great Britain,"['silk (textile)', 'printing ink']",['printing'],[]
O1392095,Walking stick,"Wooden walking stick prop used by Harry Lauder, 20th century",unknown,1949.0,Great Britain,['wood'],['gluing'],[]
O112160,Ceramic,"Figurine of Ellen Terry as Queen Katherine in Shakespeare's <i>Henry VIII</i>, Lyceum Theatre, opening 5 January 1892.  Royal Doulton bone china, ca.1900","Noke, C.J.",1899.0,Burslem,"['bone china', 'glaze']","['moulding', 'firing (heating)', 'painting', 'glazing (coating)']",[]
O111957,Poster,"Poster showing Tamara Karsavina as the Young Girl in <i>Le Spectre de la rose</i>.  Lithograph designed by Jean Cocteau (1889-1963) for the sixth Paris season of the Ballets Russes, Théâtre des Champs Élysées, May and June 1913. Printed by Eugene Verneau & Henri Chachoin, Paris","Cocteau, Jean",1913.0,Paris,"['printing ink', 'paper']","['printing', 'lithography']",[]
O186385,Print,"The first act of the <i>Veglia sella Liberazione di Tirreno</i>, shown in the Comedy Hall of the Duke of Tuscany during the carnival of 1616.  Etching by Jacques Callot, ca.1616. Harry Beard Collection
","Callot, Jacques",1650.0,Italy,"['printing ink', 'paper']","['print-making', 'etching (printing process)']",[]
O186384,Print,"Print entitled 'Veduta del Proscenio nella Festa Teatrale intitolata Angelica Vincitrice di Alcina' or 'A View of the stage in the Theatrical Festival entitled the Angelic Victory of Alcina' from the opera <i>Alcina</i>. Designed by Ferdinando Galli Bibiena and etched in 1716, Harry Beard Collection","Galli Bibiena, Ferdinando",1716.0,Vienna,"['printing ink', 'paper']","['print-making', 'etching (printing process)']",[]
O1135613,Notebook,"Notebook in which Lydia Sokolova recorded parts of her role as the Chosen Maiden in Leonide Massine's ballet <i>Le Sacre du Printemps</i> (<i>The Rite of Spring</i>), 1920.","Bewicke, Hilda",1920.0,Liverpool,"['cardboard', 'paper', 'paper', 'pencil', 'Pencil crayon', 'ink']",['writing (processes)'],[]
O144761,Set model,"Set model by Alison Chitty for Jean-Jacques Bernard's play <i>Martine</i>, National Theatre, 1985","Chitty, Alison",1985.0,Great Britain,"['water-colour', 'gouache', 'composition (material)', 'straw', 'card', 'wood']","['model-making', 'painting']",[]
O143855,Notice board,"Notice board from the Theatre Royal Drury Lane advertising prices of admission, ca.1946, when the theatre was reopened after the Second World War under the management of Prince Littler (1901-1973)",Unknown,1945.0,London,"['mahogany', 'paint', 'varnish']",[],[]
O1509634,Set model ,"Set model piece by George Ramon for an interior in a castle or hall, unidentified production, 1940s","Ramon, George",1944.0,London,[],[],[]
O1505555,Set model,"Set model by Stefanos Lazaridis for Kenneth Cameron’s play, <i>Papp</i>, Hampstead Theatre Club, 1969","Lazaridis, Stefanos",1969.0,Great Britain,[],[],[]
O1496965,Lamp (lighting device),"One of a pair of table lamps, Regency style, white painted wood with shade, used in the dressing room of Beatrice Lillie, mid 20th century",,1950.0,Great Britain,"['wood', 'paint', 'metal', 'card', 'velvet']",[],[]
O1496961,Lamp (lighting device),"One of a pair of table lamps, Regency style, white painted wood with shade, used in the dressing room of Beatrice Lillie, mid 20th century",,1950.0,Great Britain,"['wood', 'paint', 'metal', 'card', 'velvet']",[],[]
O1491568,Model theatre,"Model theatre for toy theatre productions, produced in association with the periodical <i>Mon Théâtre</i> published by Albert Méricant, Paris.  Set with scenery for the play <i>L'Accordeur</i> published in <i>Mon Théâtre</i> 15th March 1905",,1904.0,Paris,"['Cardboard', 'Wood', 'Printing ink']",['printing'],[]
O239104,Theatre model,"Model of the theatre at Epidaurus, 4th century BC. Model made ca.1998",Unknown,1997.0,,"['plaster', 'composition (material)', 'paint']","['modelling (forming)', 'painting']",[]
O100902,Aigrette,"'Aigrette' of mauve spun glass set in white metal (in imitation of silver). Worn in an unidentified production for the John Martin Harvey company, early 20th century.",,1925.0,,"['glass', 'silver']",[],[]
O125012,Set model,"Set model piece for the façade of Madame Fleur's house designed by Oliver Messel for Truman Capote and Harold Arlen's musical <i>House of Flowers</i>, 1954.","Messel, Oliver Hilary Sambourne",1954.0,London,"['paper', 'wire', 'glue', 'acetate', 'watercolour', 'kaolinite', 'gauze', 'gouache']",['painting (image-making)'],[]
O1294788,Drawing,"Head and shoulders watercolour drawing of the actress Ellen Terry (1874-1928) as Cordelia in <i>King Lear</i> by William Shakespeare, possibly by Carrie Seimund, dated May 1912","Seimund, Carrie R.B.",1912.0,Great Britain,"['watercolour', 'paper', 'art board']",['drawing (image-making)'],[]
O1244897,Puppet,"Frog puppet made by Anna Braybrooke  for the Polka Theatre in 1972 for the <i>Africa, Africa</i> production.",Anna Braybrooke,1972.0,United Kingdom,"['celastic', 'paint', 'cotton yarn']","['decorated', 'sewn', 'painted']",[]
O1227389,Chair,"Chair used by King George V during the first Royal Command Performance at the Palace Theatre, London, 1st July 1912. Painted wood and wicker",,,,"['wood', 'wicker', 'paint']",['painting techniques'],[]
O1227264,Set model,"Set model by Oliver Messel for Jean Anouilh’s play, <i>Traveller Without Luggage</i> (<i>Le Voyageur sans bagage</i>), ANTA Theatre, New York, 1964","Messel, Oliver Hilary Sambourne",1964.0,Great Britain,[],[],[]
O1191348,Theatre box,"Part of  a theatre box, from the Palace Theatre of Varieties, Gorbals Street Glasgow, fibrous plaster, painted gold, designed by Bertie Crewe",,,,[],[],[]
O1174437,Backcloth,"Stage cloth designed by Jean Hugo for <i>Shakespeare Quatercentenary Exhibition</i> at Stratford-upon-Avon, organised by Richard Buckle. Painted linen cloth.","Hugo, Jean",1964.0,Great Britain,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1174434,Backcloth,"Stage cloth designed by Jean Hugo for <i>Shakespeare Quatercentenary Exhibition</i> at Stratford-upon-Avon, organised by Richard Buckle. Painted linen cloth.","Hugo, Jean",1964.0,Great Britain,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1174420,Stage Cloth,"Stage cloth designed by David Hockney for a double bill of Stravinsky's opera <i>Le Rossignol</i> and Ravel's opera <i>L'Enfant et les Sortilèges</i>, Royal Opera House, Covent Garden, 1983. Painted silk cloth.","Hockney, David",1983.0,London,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1174417,Frontcloth,"Frontcloth designed by David Hockney for Stravinsky's opera <i>Le Rossignol</i>, Royal Opera House, Covent Garden, 1983, presented in a double bill with <i>L'Enfant et Les Sortilèges</i> by Maurice Ravel. Painted gauze cloth.","Hockney, David",1983.0,London,"['paint', 'cotton (textile)']","['priming', 'painting (image-making)']",[]
O1160747,Set model,"Set model by Tom Piper for William Shakespeare's plays <i>Henry VI</i>, parts I, II and III, Royal Shakespeare Company, Courtyard Theatre, Stratford-upon-Avon, 2006.","Piper, Tom",2006.0,Stratford-upon-Avon,[],[],[]
O1160649,Set model,"Set model designed by Miranda Melville for Bobby Baker's play <i>How to Live</i> by Bobby Baker, Daily Life Theatre at the Barbican, London, 2004.","Melville, Miranda",2004.0,London,[],[],[]
O1115257,Set model,"Set model by Roger Butlin for John Hale's play ""Spithead"", Greenwich Theatre, November 16th 1969.  ",Roger Butlin,1969.0,,"['wood', 'string', 'felt']",[],[]
O1115252,Set model,"Set model by Henry Emden for the 'London Bridge' scene in J. Comyns Carr's stage adaption of Charles Dicken's 'Oliver Twist', His Majesty's Theatre, London, June 10th 1905.  ",Henry Emden,1905.0,Great Britain,"['cardboard', 'watercolour (paint)']",['painting (image-making)'],[]
O1113460,Theatre costume,"Stilts used by the Pender Troupe in 'Jack and the Beanstalk' at Drury Lane Theatre, Christmas 1910/1911.",,1910.0,,['papier mache'],[],[]
O1113105,Book,"Book, to go on shelf of desk. The World of Charles Dickens, ""A Tale of Two Cities"" used by Emlyn Williams for the contents of 'Dickens' Desk'",,,,[],[],[]
O1113104,Book,"Book, to go on shelf of desk. The World of Charles Dickens, ""Great Expectations"" used by Emlyn Williams for the contents of 'Dickens' Desk'",,,,[],[],[]
O1113102,Book,"Book, to go on shelf of desk. 'A Christmas Carol and other stories' used by Emlyn Williams for the contents of 'Dickens' Desk'",,,,[],[],[]
O1432486,Award,"Emmy Award for Best Actor presented to Keith Michell for <i>The Six Wives of Henry VIII</i>, 1971","McManus, Louis",1971.0,United States,"['silver', 'gold', 'copper', 'nickel']","['casting', 'plating']",[]
O1532647,Poster,"Poster advertising <i>Goldilocks and the Three Bears</i>, London Palladium, 2019",,2019.0,Great Britain,"['printing ink', 'paper']",['printing'],[]
O1509765,Costume,"Waiter's costume consisting of a white jacket, black trousers and black bow tie worn by Andrew Sachs as Manuel in Fawlty Towers, 1975 to 1979",,1974.0,,['cotton (textile)'],[],[]
O1479630,Award,"Laurence Olivier Award presented to Sara Kestelman in 1994 by the Society of West End Theatre for Best Performance in a Supporting Role in a Musical. Bronze, cast by the Arch Bronze Foundry from the original sculpted by Harry Franchetti in 1988","Franchetti, Harry",1994.0,London,['bronze'],['casting'],[]
O1476817,Award,"Carl Alan Award for Outstanding Instrumental Record for Dancing, presented to the bandleader, Joe Loss, 1963",,1963.0,Great Britain,"['copper', 'gold', 'nickel', 'silver']",[],[]
O1511668,Bottle,"Ed Sheeran X Heinz Tomato Ketchup, Tattoo Edition, 2019","Paul, Kevin",2019.0,,"['glass', 'metal', 'polyvinyl chloride']",[],[]
O74193,Sound machine,"Wooden and canvas wind machine used as a theatrical sound effect at the Cripplegate Institute  theatre.  Perhaps originally from the Britannia Theatre, Hoxton, which closed as a theatre in 1923.",,1899.0,,"['Wood', 'Iron', 'Canvas', 'Rope']",[],[]
O74169,Sound machine,"Wooden gun rattle used as a theatrical sound effect at the Cripplegate Institute theatre. Perhaps originally from the Britannia Theatre, Hoxton, which closed as a theatre in 1923.",,1899.0,,"['Wood', 'Iron']",[],[]
O96651,Set model,"Set model by Sophie Fedorovitch for the opera ""Orpheus"", Covent Garden, 1953.","Fedorovitch, Sophie",1953.0,London,"['wood', 'paint']",[],[]
O96649,Set model,"Set model by Sophie Fedorovitch for Acts II & III of Puccini's opera ""Madam Butterfly"", Covent Garden, 1950.","Fedorovitch, Sophie",1950.0,London,"['wood', 'paper', 'paint']",[],[]
O96646,Set model,"Set model showing the setting for Sophie Fedorovitch's ballet ""La Fête Étrange"", revived for Sadler's Wells Theatre Ballet, 1947.","Fedorovitch, Sophie",1947.0,London,"['wood', 'cloth', 'paint', 'cloth']",[],[]
O1272485,Design,"Design for stage scenery in the Pierrot Show, used in Fol-de-Rols musical revue, ca. 1950- ca. 1960",Wim Bijmoer,1954.0,London,"['pencil', 'paper', 'watercolour']","['drawing (image-making)', 'painting']",[]
O1273308,Print,"Sheet music for <i>Sound Advice</i> as sung and composed by Harry Lauder, written by J.D Harper. Published in London by Francis Day & Hunter, 1905.",Sidney Kent,1905.0,London,"['printing ink', 'paper']",['chromolithography'],[]
O1294941,Set design,"Set design by Sophie Fedorovitch for the ballet <i>Symphonic Variations</i>, created for the Sadler's Wells Ballet at the Royal Opera House, Covent Garden, 1946","Fedorovitch, Sophie",1946.0,London,"['pencil', 'watercolour', 'card']","['painting (image-making)', 'drawing (image-making)']",[]
O85573,Painting,"Painting by Charles Buchel, ""Sir John Martin-Harvey as Sydney Carton and Nina de Silva as Mimi in <i>The Only Way</i> by Freeman Wills and Frederick Langbridge"", 1939, from Charles Dickens's novel <i>A Tale of Two Cities</i>","Buchel, Charles",1939.0,London,"['oil colour', 'wood']",['oil painting'],[]
O84979,Painting,"Portrait entitled ""Ira Aldridge as Mungo in <i>The Padlock</i> by Isaac Bickerstaffe"". Oil on canvas, attributed to Thomas Charles Wageman, ca. 1833",Thomas Charles Wageman,1832.0,Great Britain,"['oil colour', 'canvas']",['oil painting'],[]
O1135778,Scrap,"Printed paper scrap depicting David Garrick (1717-1779) as King Lear and Miss Younge (Mrs Elizabeth Pope, 1744?-1797) as Cordelia in <i>King Lear</i>, Act IV scene 7. Chromolithograph printed by Siegmund Hildesheimer & Co., ca.1890. One of a series showing scenes from Shakespeare's plays ",,1889.0,Great Britain,"['paper', 'printing ink']","['chromolithography', 'printing']",[]
O1356766,Poster,"Poster for Edinburgh Festival Fringe, 2015","Imray, John",2015.0,Edinburgh,"['ink', 'paper']",['printing'],[]
